name,slug,url
Foundit India,in,https://www.foundit.in
Foundit Singapore,sg,https://www.foundit.sg
Foundit Malaysia,my,https://www.foundit.my
Foundit Indonesia,id,https://www.foundit.id
Foundit Philippines,ph,https://www.foundit.com.ph

